Strategy,Total Trades,Winning Trades,Losing Trades,Win Rate (%),Total P&L (₹),Avg P&L (₹),Total Allocation (₹),Avg Allocation (₹)
Original Hull Suite,0,0,0,0.0,0.00,0.00,0.00,0.00
Modified Hull Suite,0,0,0,0.0,0.00,0.00,0.00,0.00
