Strategy,Total Trades,Winning Trades,Losing Trades,Win Rate (%),Total P&L (₹),Avg P&L (₹),Total Allocation (₹),Avg Allocation (₹)
Original Hull Suite,1266,510,666,40.3,93307.71,73.70,5141581.29,4061.28
Modified Hull Suite,3996,2186,1479,54.7,123799.05,30.98,16167026.61,4045.80
